123456|Exness
1283838|Exness
183712697|Exness
183729855|Exness
183776560|Exness
183682247|Exness
183715806|Exness
159753061|Exness
183736730|Exness
159331916|Exness
159624542|Exness
263248489|Exness
159803344|Exness
103235099|Exness
107053597|Exness
109217257|Exness
159624542|Exness
125378539|Exness
267309424|Exness
159803346|Exness
263252206|Exness
153002976|HFM
112132219|FBS
44890118|Octa
159804424|Exness
257244569|Exness
263252372|Exness
159807576|Exness
263252373|Exness
263252367|Exness
159807572|Exness
159807573|Exness
183768644|Exness
159509216|Exness
257013806|Exness
183770730|Exness
213174799|Exness
263256875|Exness 
257246696|Exness
159813905|Exness
183773058|Exness
263254818|Exness
159796421|Exness
263252169|Exness
159809591|Exness
43297119|FBS
112134371|FBS
112132689|FBS
28716305|FBS
112108624|FBS
183760959|Exness
159802299|Exness
183771103|Exness
183724760|Exness
159779521|Exness
263226307|Exness
275796241|Exness
159814420|Exness
183776346|Exness
183776253|Exness
183765427|Exness
263255061|Exness
404675623|Exness
128454214|Exness
159601889|Exness
263255061|Exness
263216927|Exness
159767885|Exness
263213754|Exness
257212941|Exness
257221807|Exness
183775279|Exness
183752272|Exness
218328270|Exness
257245792|Exness
183773212O|Exness
52248136|Exness
245826913|Exness
245826913|Exness
265421776|Exness
183744478|Exness
211007883|Valetax
211007885|Valetax
251003063|Valetax
183762304|Exness
257242096|Exness
159802481|Exness
159802483|Exness
159802486|Exness
159804972|Exness
183775133|Exness
257132645|Exness
183724760|Exness
159779521|Exness
263226307|Exness
275796241|Exness
159814420|Exness
183776346|Exness
270592229|Exness
183776346|Exness
111868115|FBS
263241977|Exness
183776560|Exness
263252539|Exness
183732016|Exness
257244569|Exness
183776619|Exness
37278268|Roboforex
114023745|HFM
114040777|HFM
159812581|Exness
183678943|Exness
263188207|Exness
183695160|Exness
263196416|Exness
159748718|Exness
159748734|Exness
263212207|Exness
263212208|Exness
263212620|Exness
263212621|Exness
257208347|Exness
159764997|Exness
159764994|Exness
159764987|Exness
159764983|Exness
159764506|Exness
257207910|Exness
159764503|Exness
159764499|Exness
183713274|Exness
159812342|Exness
257246163|Exness
159814924|Exness
257247616|Exness
159814928|Exness
263257406|Exness
183777016|Exness
159814940|Exness
159814942|Exness
159814946|Exness
183777041|Exness
159814950|Exness
183777047|Exness
159814955|Exness
263257433|Exness
263257436|Exness
263257437|Exness
113140791|Xm
183712697|Exness
128197429|Exness 
128261184|Exness 
159764394|Exness 
183713231|Exness 
608911|Cxm
620724|Cxm
43297119|FBS
112134371|FBS
112132689|FBS
28716305|FBS
112108624|FBS
112136039|FBS
112136075|FBS
28723667|FBS
28723730|FBS
135016879|HFM
263256842|Exness
183769193|Exness
183774601|Exness
159813251|Exness
37278736|RoboForex
37278734|RoboForex
102344778|HFM
102344887|HFM
102344892|HFM
112136202|FBS
28723795|FBS
43298962|FBS
263251914|Exness
159796421|Exness
263252169|Exness
159809591|Exness
183712697|Exness
20382489|Markets4you
183777726|EXNESS
263257913|EXNESS
257248095|EXNESS
263256843|EXNESS
183776196|EXNESS
183777785|exness
183777784|exness
159796421|Exness
263252160|Exness
159809591|Exness
183777610|Exness
183748376|exness
213382870|exness
44882546|octafx
44883450|OctaFx
102345777|Hfm
37278738|RoboForex
37278739|RoboForex
37278806|RoboForex
37278807|RoboForex
37278808|RoboForex
37278809|RoboForex
37278810|RoboForex
37278811|RoboForex
257247461|Exness
257092099|Exness
26302745|Exness
263030883|Exness
159518918|Exness
257020878|Exness
257030611|Exness
183190872|Exness
25523581|Exness
159577696|Exness
257244280|Exness
183758133|Exness
257244385|Exness
159294130|Exness
257141712|Exness
114013460|Hfm
183749331|exness
159793616|exness
183749337|exness
263245007|exness
183755539|exness
257242734|exness
257244602|exness
183769503|exness
159812811|exness
183774644|exness
263255850|exness
159815978|exness
7011161|Phyntex 
7011136|Phyntex 
211111346|valetax
102334492|HFM
183721857|Exness
159773891|Exness
183776185|Exness
257246833|Exness
159814276|Exness
183776188|Exness
159815971|Exness
257248677|Exness
257248678|Exness
257248680|Exness
159815972|Exness
263258419|Exness
109138962|exness
194811502|exness
291007670|Valetax
15531342|Headway
